# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 支持设置白名单：接口后添加$!

广西卫视,http://158.179.175.153:50001/TVOD/5000000011000031118/bestzb/index.m3u8
贵州卫视,http://158.179.175.153:50001/TVOD/5000000004000025843/bestzb/index.m3u8
海南卫视,http://158.179.175.153:50001/TVOD/5000000004000006211/bestzb/index.m3u8
河北卫视,http://158.179.175.153:50001/TVOD/5000000006000040016/bestzb/index.m3u8
河南卫视,http://158.179.175.153:50001/TVOD/5000000011000031119/bestzb/index.m3u8
黑龙江卫视,http://158.179.175.153:50001/TVOD/6000000001000016510/wasusyt/index.m3u8
黑龙江卫视,http://158.179.175.153:50001/TVOD/1000000001000001925/ystenlive/index.m3u8
湖北卫视,http://158.179.175.153:50001/TVOD/6000000001000015436/wasusyt/index.m3u8
湖南卫视,http://158.179.175.153:50001/TVOD/5000000004000006692/bestzb/index.m3u8
吉林卫视,http://158.179.175.153:50001/TVOD/5000000011000031117/bestzb/index.m3u8
江苏卫视,http://158.179.175.153:50001/TVOD/6000000001000014861/wasusyt/index.m3u8
江西卫视,http://158.179.175.153:50001/TVOD/1000000006000268001/ystenlive/index.m3u8
辽宁卫视,http://158.179.175.153:50001/TVOD/5000000004000011671/bestzb/index.m3u8
宁夏卫视,http://158.179.175.153:50001/TVOD/1000000002000031451/ystenlive/index.m3u8
青海卫视,http://158.179.175.153:50001/TVOD/1000000002000013359/ystenlive/index.m3u8
厦门卫视,http://158.179.175.153:50001/TVOD/1000000005000266006/ystenlive/index.m3u8
山东卫视,http://158.179.175.153:50001/TVOD/6000000001000004134/wasusyt/index.m3u8
山西卫视,http://158.179.175.153:50001/TVOD/1000000002000021220/ystenlive/index.m3u8
陕西卫视,http://158.179.175.153:50001/TVOD/1000000002000007495/ystenlive/index.m3u8
东方卫视,http://158.179.175.153:50001/TVOD/5000000004000014098/bestzb/index.m3u8
深圳卫视,http://158.179.175.153:50001/TVOD/5000000004000007410/bestzb/index.m3u8
四川卫视,http://158.179.175.153:50001/TVOD/5000000004000006119/bestzb/index.m3u8
探索纪录,http://158.179.175.153:50001/TVOD/2000000004000000007/hnbblive/index.m3u8
天津卫视,http://158.179.175.153:50001/TVOD/5000000004000006827/bestzb/index.m3u8
CCTV-1,http://182.112.177.81:9901/tsfile/live/0001_1.m3u8
CCTV-2,http://182.112.177.81:9901/tsfile/live/0002_1.m3u8
CCTV-3,http://182.112.177.81:9901/tsfile/live/0003_1.m3u8
CCTV-4,http://182.112.177.81:9901/tsfile/live/0004_1.m3u8
CCTV-5,http://182.112.177.81:9901/tsfile/live/0016_1.m3u8
CCTV-6,http://182.112.177.81:9901/tsfile/live/0006_1.m3u8
CCTV-7,http://182.112.177.81:9901/tsfile/live/0007_1.m3u8
CCTV-8,http://182.112.177.81:9901/tsfile/live/0008_1.m3u8
CCTV-9,http://182.112.177.81:9901/tsfile/live/0009_1.m3u8
CCTV-10,http://182.112.177.81:9901/tsfile/live/0010_1.m3u8
CCTV-11,http://182.112.177.81:9901/tsfile/live/0011_1.m3u8
CCTV-12,http://182.112.177.81:9901/tsfile/live/0012_1.m3u8
CCTV-13,http://182.112.177.81:9901/tsfile/live/0013_1.m3u8
CCTV-14,http://182.112.177.81:9901/tsfile/live/0014_1.m3u8
CCTV-15,http://182.112.177.81:9901/tsfile/live/0015_1.m3u8
CCTV-5,http://182.112.177.81:9901/tsfile/live/0005_1.m3u8
河南卫视,http://182.112.177.81:9901/tsfile/live/1034_1.m3u8
浙江卫视,http://182.112.177.81:9901/tsfile/live/0124_1.m3u8
湖南卫视,http://182.112.177.81:9901/tsfile/live/0128_1.m3u8
东方卫视,http://182.112.177.81:9901/tsfile/live/0107_1.m3u8
江苏卫视,http://182.112.177.81:9901/tsfile/live/0127_1.m3u8
安徽卫视,http://182.112.177.81:9901/tsfile/live/0130_1.m3u8
北京卫视,http://182.112.177.81:9901/tsfile/live/0122_1.m3u8
深圳卫视,http://182.112.177.81:9901/tsfile/live/0126_1.m3u8
重庆卫视,http://182.112.177.81:9901/tsfile/live/0142_1.m3u8
山东卫视,http://182.112.177.81:9901/tsfile/live/0131_1.m3u8
贵州卫视,http://182.112.177.81:9901/tsfile/live/0120_1.m3u8
陕西卫视,http://182.112.177.81:9901/tsfile/live/0136_1.m3u8
广西卫视,http://182.112.177.81:9901/tsfile/live/0113_1.m3u8
云南卫视,http://182.112.177.81:9901/tsfile/live/0119_1.m3u8
四川卫视,http://182.112.177.81:9901/tsfile/live/0123_1.m3u8
湖北卫视,http://182.112.177.81:9901/tsfile/live/0132_1.m3u8
河北卫视,http://182.112.177.81:9901/tsfile/live/0117_1.m3u8
江西卫视,http://182.112.177.81:9901/tsfile/live/0138_1.m3u8
山西卫视,http://182.112.177.81:9901/tsfile/live/0118_1.m3u8
宁夏卫视,http://182.112.177.81:9901/tsfile/live/0112_1.m3u8
吉林卫视,http://182.112.177.81:9901/tsfile/live/0116_1.m3u8
辽宁卫视,http://182.112.177.81:9901/tsfile/live/0121_1.m3u8
天津卫视,http://182.112.177.81:9901/tsfile/live/0135_1.m3u8
广东卫视,http://182.112.177.81:9901/tsfile/live/0125_1.m3u8
黑龙江卫视,http://182.112.177.81:9901/tsfile/live/0143_1.m3u8
CCTV-1,http://123.13.33.49:9901/tsfile/live/0001_1.m3u8
CCTV-2,http://123.13.33.49:9901/tsfile/live/0002_1.m3u8
CCTV-3,http://123.13.33.49:9901/tsfile/live/0003_1.m3u8
CCTV-4,http://123.13.33.49:9901/tsfile/live/0004_1.m3u8
CCTV-5,http://123.13.33.49:9901/tsfile/live/0016_1.m3u8
CCTV-6,http://123.13.33.49:9901/tsfile/live/0006_1.m3u8
CCTV-7,http://123.13.33.49:9901/tsfile/live/0007_1.m3u8
CCTV-8,http://123.13.33.49:9901/tsfile/live/0008_1.m3u8
CCTV-9,http://123.13.33.49:9901/tsfile/live/0009_1.m3u8
CCTV-10,http://123.13.33.49:9901/tsfile/live/0010_1.m3u8
CCTV-11,http://123.13.33.49:9901/tsfile/live/0011_1.m3u8
CCTV-12,http://123.13.33.49:9901/tsfile/live/0012_1.m3u8
CCTV-13,http://123.13.33.49:9901/tsfile/live/0013_1.m3u8
CCTV-14,http://123.13.33.49:9901/tsfile/live/0014_1.m3u8
CCTV-15,http://123.13.33.49:9901/tsfile/live/0015_1.m3u8
CCTV-5,http://123.13.33.49:9901/tsfile/live/0005_1.m3u8
河南卫视,http://123.13.33.49:9901/tsfile/live/1034_1.m3u8
浙江卫视,http://123.13.33.49:9901/tsfile/live/0124_1.m3u8
湖南卫视,http://123.13.33.49:9901/tsfile/live/0128_1.m3u8
东方卫视,http://123.13.33.49:9901/tsfile/live/0107_1.m3u8
江苏卫视,http://123.13.33.49:9901/tsfile/live/0127_1.m3u8
安徽卫视,http://123.13.33.49:9901/tsfile/live/0130_1.m3u8
北京卫视,http://123.13.33.49:9901/tsfile/live/0122_1.m3u8
深圳卫视,http://123.13.33.49:9901/tsfile/live/0126_1.m3u8
重庆卫视,http://123.13.33.49:9901/tsfile/live/0142_1.m3u8
山东卫视,http://123.13.33.49:9901/tsfile/live/0131_1.m3u8
贵州卫视,http://123.13.33.49:9901/tsfile/live/0120_1.m3u8
陕西卫视,http://123.13.33.49:9901/tsfile/live/0136_1.m3u8
广西卫视,http://123.13.33.49:9901/tsfile/live/0113_1.m3u8
云南卫视,http://123.13.33.49:9901/tsfile/live/0119_1.m3u8
四川卫视,http://123.13.33.49:9901/tsfile/live/0123_1.m3u8
湖北卫视,http://123.13.33.49:9901/tsfile/live/0132_1.m3u8
河北卫视,http://123.13.33.49:9901/tsfile/live/0117_1.m3u8
江西卫视,http://123.13.33.49:9901/tsfile/live/0138_1.m3u8
山西卫视,http://123.13.33.49:9901/tsfile/live/0118_1.m3u8
宁夏卫视,http://123.13.33.49:9901/tsfile/live/0112_1.m3u8
吉林卫视,http://123.13.33.49:9901/tsfile/live/0116_1.m3u8
辽宁卫视,http://123.13.33.49:9901/tsfile/live/0121_1.m3u8
天津卫视,http://123.13.33.49:9901/tsfile/live/0135_1.m3u8
广东卫视,http://123.13.33.49:9901/tsfile/live/0125_1.m3u8
黑龙江卫视,http://123.13.33.49:9901/tsfile/live/0143_1.m3u8
CCTV-1,http://115.51.7.106:9901/tsfile/live/0001_1.m3u8
CCTV-2,http://115.51.7.106:9901/tsfile/live/0002_1.m3u8
CCTV-3,http://115.51.7.106:9901/tsfile/live/0003_1.m3u8
CCTV-4,http://115.51.7.106:9901/tsfile/live/0004_1.m3u8
CCTV-5,http://115.51.7.106:9901/tsfile/live/0016_1.m3u8
CCTV-6,http://115.51.7.106:9901/tsfile/live/0006_1.m3u8
CCTV-7,http://115.51.7.106:9901/tsfile/live/0007_1.m3u8
CCTV-8,http://115.51.7.106:9901/tsfile/live/0008_1.m3u8
CCTV-9,http://115.51.7.106:9901/tsfile/live/0009_1.m3u8
CCTV-10,http://115.51.7.106:9901/tsfile/live/0010_1.m3u8
CCTV-11,http://115.51.7.106:9901/tsfile/live/0011_1.m3u8
CCTV-12,http://115.51.7.106:9901/tsfile/live/0012_1.m3u8
CCTV-13,http://115.51.7.106:9901/tsfile/live/0013_1.m3u8
CCTV-14,http://115.51.7.106:9901/tsfile/live/0014_1.m3u8
