# 这是接口或订阅源的白名单，白名单内的接口或订阅源获取的接口将不会参与测速，优先排序至结果最前。
# 填写频道名称会直接保留该记录至最终结果，如：CCTV-1,接口地址，只填写接口地址则对所有频道生效，多条记录换行输入。

湖北卫视,http://180.120.2.79:8888/rtp/239.49.1.48:6000
吉林卫视,http://180.120.2.79:8888/rtp/239.49.1.49:6000
黑龙江卫视,http://180.120.2.79:8888/rtp/239.49.1.50:6000
山西卫视,http://180.120.2.79:8888/rtp/239.49.1.51:6000
贵州卫视,http://180.120.2.79:8888/rtp/239.49.1.52:6000
青海卫视,http://180.120.2.79:8888/rtp/239.49.1.53:6000
深圳卫视,http://180.120.2.79:8888/rtp/239.49.1.59:6000
风云足球,http://180.120.2.79:8888/rtp/239.49.1.61:6000
吉林卫视,http://180.120.2.79:8888/rtp/239.49.9.1:6000
世界地理,http://180.120.2.79:8888/rtp/239.49.1.63:6000
兵器科技,http://180.120.2.79:8888/rtp/239.49.1.64:6000
风云剧场,http://180.120.2.79:8888/rtp/239.49.1.65:6000
文化精品,http://180.120.2.79:8888/rtp/239.49.1.66:6000
怀旧剧场,http://180.120.2.79:8888/rtp/239.49.1.67:6000
云南卫视,http://180.120.2.79:8888/rtp/239.49.1.235:6000
河北卫视,http://180.120.2.79:8888/rtp/239.49.1.236:6000
宁夏卫视,http://180.120.2.79:8888/rtp/239.49.1.237:6000
甘肃卫视,http://180.120.2.79:8888/rtp/239.49.1.238:6000
新疆卫视,http://180.120.2.79:8888/rtp/239.49.1.239:6000
内蒙古卫视,http://180.120.2.79:8888/rtp/239.49.1.240:6000
陕西卫视,http://180.120.2.79:8888/rtp/239.49.1.248:6000
南方卫视,http://180.120.2.79:8888/rtp/239.49.1.249:6000
江苏卫视,http://180.120.2.79:8888/rtp/239.49.8.138:6000
浙江卫视,http://180.120.2.79:8888/rtp/239.49.8.139:6000
东方卫视,http://180.120.2.79:8888/rtp/239.49.8.140:6000
北京卫视,http://180.120.2.79:8888/rtp/239.49.8.141:6000
湖南卫视,http://180.120.2.79:8888/rtp/239.49.8.142:6000
广东卫视,http://180.120.2.79:8888/rtp/239.49.8.143:6000
黑龙江卫视,http://180.120.2.79:8888/rtp/239.49.8.144:6000
深圳卫视,http://180.120.2.79:8888/rtp/239.49.8.145:6000
山东卫视,http://180.120.2.79:8888/rtp/239.49.8.146:6000
湖北卫视,http://180.120.2.79:8888/rtp/239.49.8.147:6000
天津卫视,http://180.120.2.79:8888/rtp/239.49.8.148:6000
重庆卫视,http://180.120.2.79:8888/rtp/239.49.8.149:6000
辽宁卫视,http://180.120.2.79:8888/rtp/239.49.8.173:6000
贵州卫视,http://180.120.2.79:8888/rtp/239.49.8.174:6000
四川卫视,http://180.120.2.79:8888/rtp/239.49.8.184:6000
江西卫视,http://180.120.2.79:8888/rtp/239.49.8.185:6000
东南卫视,http://180.120.2.79:8888/rtp/239.49.8.186:6000
吉林卫视,http://180.120.2.79:8888/rtp/239.49.8.187:6000
河北卫视,http://180.120.2.79:8888/rtp/239.49.8.188:6000
河南卫视,http://180.120.2.79:8888/rtp/239.49.8.197:6000
安徽卫视,http://180.120.2.79:8888/rtp/239.49.8.204:6000
广西卫视,http://180.120.2.79:8888/rtp/239.49.8.209:6000
海南卫视,http://180.120.2.79:8888/rtp/239.49.8.212:6000
云南卫视,http://180.120.2.79:8888/rtp/239.49.8.227:6000

CCTV-1,http://183.185.254.203:9999/tsfile/live/0001_1.m3u8
CCTV-2,http://183.185.254.203:9999/tsfile/live/0002_1.m3u8
CCTV-3,http://183.185.254.203:9999/tsfile/live/0003_1.m3u8
CCTV-4,http://183.185.254.203:9999/tsfile/live/0004_1.m3u8
CCTV-5,http://183.185.254.203:9999/tsfile/live/0005_1.m3u8
CCTV-5,http://183.185.254.203:9999/tsfile/live/0016_1.m3u8
CCTV-6,http://183.185.254.203:9999/tsfile/live/0006_1.m3u8
CCTV-7,http://183.185.254.203:9999/tsfile/live/0007_1.m3u8
CCTV-8,http://183.185.254.203:9999/tsfile/live/0008_1.m3u8
CCTV-9,http://183.185.254.203:9999/tsfile/live/0009_1.m3u8
CCTV-10,http://183.185.254.203:9999/tsfile/live/0010_1.m3u8
CCTV-11,http://183.185.254.203:9999/tsfile/live/0011_1.m3u8
CCTV-12,http://183.185.254.203:9999/tsfile/live/0012_1.m3u8
CCTV-13,http://183.185.254.203:9999/tsfile/live/0013_1.m3u8
CCTV-14,http://183.185.254.203:9999/tsfile/live/0014_1.m3u8
CCTV-15,http://183.185.254.203:9999/tsfile/live/0015_1.m3u8
CCTV-17,http://183.185.254.203:9999/tsfile/live/0019_1.m3u8
安徽卫视,http://183.185.254.203:9999/tsfile/live/0130_1.m3u8
辽宁卫视,http://183.185.254.203:9999/tsfile/live/0121_1.m3u8
深圳卫视,http://183.185.254.203:9999/tsfile/live/0126_1.m3u8
山东卫视,http://183.185.254.203:9999/tsfile/live/0131_1.m3u8
江苏卫视,http://183.185.254.203:9999/tsfile/live/0127_1.m3u8
黑龙江卫视,http://183.185.254.203:9999/tsfile/live/0143_1.m3u8
广东卫视,http://183.185.254.203:9999/tsfile/live/0125_1.m3u8
天津卫视,http://183.185.254.203:9999/tsfile/live/0135_1.m3u8
吉林卫视,http://183.185.254.203:9999/tsfile/live/0116_1.m3u8
浙江卫视,http://183.185.254.203:9999/tsfile/live/0124_1.m3u8
陕西卫视,http://183.185.254.203:9999/tsfile/live/0136_1.m3u8
湖北卫视,http://183.185.254.203:9999/tsfile/live/0132_1.m3u8
四川卫视,http://183.185.254.203:9999/tsfile/live/0123_1.m3u8
贵州卫视,http://183.185.254.203:9999/tsfile/live/0120_1.m3u8
重庆卫视,http://183.185.254.203:9999/tsfile/live/0142_1.m3u8
江西卫视,http://183.185.254.203:9999/tsfile/live/0138_1.m3u8
湖南卫视,http://183.185.254.203:9999/tsfile/live/0128_1.m3u8
北京卫视,http://183.185.254.203:9999/tsfile/live/0122_1.m3u8
东南卫视,http://183.185.254.203:9999/tsfile/live/0137_1.m3u8
云南卫视,http://183.185.254.203:9999/tsfile/live/0119_1.m3u8
宁夏卫视,http://183.185.254.203:9999/tsfile/live/0112_1.m3u8
山西卫视,http://183.185.254.203:9999/tsfile/live/0118_1.m3u8
河北卫视,http://183.185.254.203:9999/tsfile/live/0117_1.m3u8
河南卫视,http://183.185.254.203:9999/tsfile/live/0139_1.m3u8
甘肃卫视,http://183.185.254.203:9999/tsfile/live/0141_1.m3u8
青海卫视,http://183.185.254.203:9999/tsfile/live/0140_1.m3u8

CCTV-1,http://123.113.96.47:85/tsfile/live/0001_1.m3u8
CCTV-2,http://123.113.96.47:85/tsfile/live/0002_1.m3u8
CCTV-3,http://123.113.96.47:85/tsfile/live/0003_1.m3u8
CCTV-4,http://123.113.96.47:85/tsfile/live/0004_1.m3u8
CCTV-5,http://123.113.96.47:85/tsfile/live/0005_1.m3u8
CCTV-5,http://123.113.96.47:85/tsfile/live/0016_1.m3u8
CCTV-6,http://123.113.96.47:85/tsfile/live/0006_1.m3u8
CCTV-7,http://123.113.96.47:85/tsfile/live/0007_1.m3u8
CCTV-8,http://123.113.96.47:85/tsfile/live/0008_1.m3u8
CCTV-9,http://123.113.96.47:85/tsfile/live/0009_1.m3u8
CCTV-10,http://123.113.96.47:85/tsfile/live/0010_1.m3u8
CCTV-11,http://123.113.96.47:85/tsfile/live/0011_1.m3u8
CCTV-12,http://123.113.96.47:85/tsfile/live/0012_1.m3u8
CCTV-13,http://123.113.96.47:85/tsfile/live/0013_1.m3u8
CCTV-14,http://123.113.96.47:85/tsfile/live/0014_1.m3u8
CCTV-15,http://123.113.96.47:85/tsfile/live/0015_1.m3u8
CCTV-17,http://123.113.96.47:85/tsfile/live/0019_1.m3u8
安徽卫视,http://123.113.96.47:85/tsfile/live/0130_1.m3u8
辽宁卫视,http://123.113.96.47:85/tsfile/live/0121_1.m3u8
深圳卫视,http://123.113.96.47:85/tsfile/live/0126_1.m3u8
山东卫视,http://123.113.96.47:85/tsfile/live/0131_1.m3u8
江苏卫视,http://123.113.96.47:85/tsfile/live/0127_1.m3u8
黑龙江卫视,http://123.113.96.47:85/tsfile/live/0143_1.m3u8
广东卫视,http://123.113.96.47:85/tsfile/live/0125_1.m3u8
天津卫视,http://123.113.96.47:85/tsfile/live/0135_1.m3u8
吉林卫视,http://123.113.96.47:85/tsfile/live/0116_1.m3u8
浙江卫视,http://123.113.96.47:85/tsfile/live/0124_1.m3u8
陕西卫视,http://123.113.96.47:85/tsfile/live/0136_1.m3u8
湖北卫视,http://123.113.96.47:85/tsfile/live/0132_1.m3u8
四川卫视,http://123.113.96.47:85/tsfile/live/0123_1.m3u8
贵州卫视,http://123.113.96.47:85/tsfile/live/0120_1.m3u8
重庆卫视,http://123.113.96.47:85/tsfile/live/0142_1.m3u8
江西卫视,http://123.113.96.47:85/tsfile/live/0138_1.m3u8
湖南卫视,http://123.113.96.47:85/tsfile/live/0128_1.m3u8
北京卫视,http://123.113.96.47:85/tsfile/live/0122_1.m3u8
东南卫视,http://123.113.96.47:85/tsfile/live/0137_1.m3u8
云南卫视,http://123.113.96.47:85/tsfile/live/0119_1.m3u8
宁夏卫视,http://123.113.96.47:85/tsfile/live/0112_1.m3u8
山西卫视,http://123.113.96.47:85/tsfile/live/0118_1.m3u8
河北卫视,http://123.113.96.47:85/tsfile/live/0117_1.m3u8
河南卫视,http://123.113.96.47:85/tsfile/live/0139_1.m3u8
甘肃卫视,http://123.113.96.47:85/tsfile/live/0141_1.m3u8
青海卫视,http://123.113.96.47:85/tsfile/live/0140_1.m3u8

CCTV-1,http://113.200.75.119:8899/tsfile/live/0001_1.m3u8
CCTV-2,http://113.200.75.119:8899/tsfile/live/0002_1.m3u8
CCTV-3,http://113.200.75.119:8899/tsfile/live/0003_1.m3u8
CCTV-4,http://113.200.75.119:8899/tsfile/live/0004_1.m3u8
CCTV-5,http://113.200.75.119:8899/tsfile/live/0005_1.m3u8
CCTV-5,http://113.200.75.119:8899/tsfile/live/0016_1.m3u8
CCTV-6,http://113.200.75.119:8899/tsfile/live/0006_1.m3u8
CCTV-7,http://113.200.75.119:8899/tsfile/live/0007_1.m3u8
CCTV-8,http://113.200.75.119:8899/tsfile/live/0008_1.m3u8
CCTV-9,http://113.200.75.119:8899/tsfile/live/0009_1.m3u8
CCTV-10,http://113.200.75.119:8899/tsfile/live/0010_1.m3u8
CCTV-11,http://113.200.75.119:8899/tsfile/live/0011_1.m3u8
CCTV-12,http://113.200.75.119:8899/tsfile/live/0012_1.m3u8
CCTV-13,http://113.200.75.119:8899/tsfile/live/0013_1.m3u8
CCTV-14,http://113.200.75.119:8899/tsfile/live/0014_1.m3u8
CCTV-15,http://113.200.75.119:8899/tsfile/live/0015_1.m3u8
CCTV-17,http://113.200.75.119:8899/tsfile/live/0019_1.m3u8
安徽卫视,http://113.200.75.119:8899/tsfile/live/0130_1.m3u8
辽宁卫视,http://113.200.75.119:8899/tsfile/live/0121_1.m3u8
深圳卫视,http://113.200.75.119:8899/tsfile/live/0126_1.m3u8
山东卫视,http://113.200.75.119:8899/tsfile/live/0131_1.m3u8
江苏卫视,http://113.200.75.119:8899/tsfile/live/0127_1.m3u8
黑龙江卫视,http://113.200.75.119:8899/tsfile/live/0143_1.m3u8
广东卫视,http://113.200.75.119:8899/tsfile/live/0125_1.m3u8
天津卫视,http://113.200.75.119:8899/tsfile/live/0135_1.m3u8
吉林卫视,http://113.200.75.119:8899/tsfile/live/0116_1.m3u8
浙江卫视,http://113.200.75.119:8899/tsfile/live/0124_1.m3u8
陕西卫视,http://113.200.75.119:8899/tsfile/live/0136_1.m3u8
湖北卫视,http://113.200.75.119:8899/tsfile/live/0132_1.m3u8
四川卫视,http://113.200.75.119:8899/tsfile/live/0123_1.m3u8
贵州卫视,http://113.200.75.119:8899/tsfile/live/0120_1.m3u8
重庆卫视,http://113.200.75.119:8899/tsfile/live/0142_1.m3u8
江西卫视,http://113.200.75.119:8899/tsfile/live/0138_1.m3u8
湖南卫视,http://113.200.75.119:8899/tsfile/live/0128_1.m3u8
北京卫视,http://113.200.75.119:8899/tsfile/live/0122_1.m3u8
东南卫视,http://113.200.75.119:8899/tsfile/live/0137_1.m3u8
云南卫视,http://113.200.75.119:8899/tsfile/live/0119_1.m3u8
宁夏卫视,http://113.200.75.119:8899/tsfile/live/0112_1.m3u8
山西卫视,http://113.200.75.119:8899/tsfile/live/0118_1.m3u8
河北卫视,http://113.200.75.119:8899/tsfile/live/0117_1.m3u8
河南卫视,http://113.200.75.119:8899/tsfile/live/0139_1.m3u8
甘肃卫视,http://113.200.75.119:8899/tsfile/live/0141_1.m3u8
青海卫视,http://113.200.75.119:8899/tsfile/live/0140_1.m3u8

CCTV-1,http://36.135.118.195:85/tsfile/live/0001_1.m3u8
CCTV-2,http://36.135.118.195:85/tsfile/live/0002_1.m3u8
CCTV-3,http://36.135.118.195:85/tsfile/live/0003_1.m3u8
CCTV-4,http://36.135.118.195:85/tsfile/live/0004_1.m3u8
CCTV-5,http://36.135.118.195:85/tsfile/live/0005_1.m3u8
CCTV-6,http://36.135.118.195:85/tsfile/live/0006_1.m3u8
CCTV-7,http://36.135.118.195:85/tsfile/live/0007_1.m3u8
CCTV-8,http://36.135.118.195:85/tsfile/live/0008_1.m3u8
CCTV-9,http://36.135.118.195:85/tsfile/live/0009_1.m3u8
CCTV-10,http://36.135.118.195:85/tsfile/live/0010_1.m3u8
CCTV-11,http://36.135.118.195:85/tsfile/live/0011_1.m3u8
CCTV-12,http://36.135.118.195:85/tsfile/live/0012_1.m3u8
CCTV-13,http://36.135.118.195:85/tsfile/live/0013_1.m3u8
CCTV-14,http://36.135.118.195:85/tsfile/live/0014_1.m3u8
CCTV-15,http://36.135.118.195:85/tsfile/live/0015_1.m3u8
CCTV-16,http://36.135.118.195:85/tsfile/live/0016_2.m3u8
CCTV-17,http://36.135.118.195:85/tsfile/live/0017_1.m3u8
吉林卫视,http://36.135.118.195:85/tsfile/live/0018_1.m3u8
山西卫视,http://36.135.118.195:85/tsfile/live/0118_1.m3u8
辽宁卫视,http://36.135.118.195:85/tsfile/live/0121_1.m3u8
东方卫视,http://36.135.118.195:85/tsfile/live/0107_1.m3u8
浙江卫视,http://36.135.118.195:85/tsfile/live/0124_1.m3u8
江苏卫视,http://36.135.118.195:85/tsfile/live/0127_1.m3u8
湖南卫视,http://36.135.118.195:85/tsfile/live/0128_1.m3u8
天津卫视,http://36.135.118.195:85/tsfile/live/0135_1.m3u8
深圳卫视,http://36.135.118.195:85/tsfile/live/0126_1.m3u8
安徽卫视,http://36.135.118.195:85/tsfile/live/0130_1.m3u8
广东卫视,http://36.135.118.195:85/tsfile/live/0125_1.m3u8
